data_hora,medicamento,localizacao,farmacia,titulo,preco,preco_numero,categoria_preco,link,relevante,preco_maximo,alerta
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,tylenol sinus paracetamol 500mg + cloridrato de pseudoefedrina 30mg 24 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-sinus-24-comprimidos.html?origin=search,0,,
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,cimegripe cloridrato fenillefrina 4mg + paracetamol 400mg + maleato de clorfeniramina 4mg 10 cápsulas,Preço não encontrado,,indefinido,https://www.drogasil.com.br/cimegripe-10-capsulas-1022093.html?origin=search,0,,
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,tylenol paracetamol bebê 100mg/ml suspensão oral sabor frutas 15ml,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-bebe-gotas-15-ml.html?origin=search,0,,
2026-06-08 08:54:39,paracetamol,Centro Manaus,Drogasil,tylenol sinus paracetamol 500mg + cloridrato de pseudoefedrina 30mg 36 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-sinus-36-comprimidos.html?origin=search,0,,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,tylenol sinus paracetamol 500mg + cloridrato de pseudoefedrina 30mg 24 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-sinus-24-comprimidos.html?origin=search,0,,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,neolefrin paracetamol 800mg + cloridrato fenillefrina 20mg + maleato de carbinoxamina 4mg 20 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/neolefrin-2-blisters-com-10-comprimidos-cada.html?origin=search,0,,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,neolefrin dia paracetamol 800mg + cloridrato fenillefrina 20mg 20 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/neolefrin-dia-com-20-comprimidos.html?origin=search,0,,
2026-06-08 08:56:44,paracetamol,Flores Manaus,Drogasil,tylenol paracetamol bebê 100mg/ml suspensão oral sabor frutas 15ml,Preço não encontrado,,indefinido,https://www.drogasil.com.br/tylenol-bebe-gotas-15-ml.html?origin=search,0,,
2026-06-08 09:01:12,loratadina,Cidade Nova Manaus,Drogasil,loratadina 10mg 12 comprimidos cimed genérico,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 09:01:12,loratadina,Cidade Nova Manaus,Drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 09:01:12,loratadina,Cidade Nova Manaus,Drogasil,loratadina 10mg 12 comprimidos neo química genérico,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 09:01:12,loratadina,Cidade Nova Manaus,Drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 09:01:12,loratadina,Cidade Nova Manaus,Drogasil,loratamed loratadina 10mg 12 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratamed-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 09:03:16,loratadina,Aleixo Manaus,Drogasil,loratadina 10mg 12 comprimidos cimed genérico,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 09:03:16,loratadina,Aleixo Manaus,Drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 09:03:16,loratadina,Aleixo Manaus,Drogasil,loratadina 10mg 12 comprimidos neo química genérico,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 09:03:16,loratadina,Aleixo Manaus,Drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search,0,,
2026-06-08 09:03:16,loratadina,Aleixo Manaus,Drogasil,loratamed loratadina 10mg 12 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratamed-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 09:06:18,vitamina c,Ponta negra,Drogasil,"sérum facial anti-idade skinceuticals c e ferulic vitamina c 15%, e e ácido ferúlico 30ml",Preço não encontrado,,indefinido,https://www.drogasil.com.br/skinceuticals-serum-antioxidante-creme-anti-ruga-ferulic-30-ml.html?origin=search,0,,
2026-06-08 09:06:18,vitamina c,Ponta negra,Drogasil,sérum de limpeza iluminador garnier vitamina c limpeza e iluminação com vitamina c 100g,Preço não encontrado,,indefinido,https://www.drogasil.com.br/garnier-serum-de-limpeza-iluminador-vitamina-c-100g-1417300.html?origin=search,0,,
2026-06-08 09:06:18,vitamina c,Ponta negra,Drogasil,vitamina c + arginina efervescente targifor+c 16 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/targifor-c-adulto-16-comprimidos-efervescentes.html?origin=search,0,,
2026-06-08 09:06:18,vitamina c,Ponta negra,Drogasil,vitamina c bwell tripla ação 30 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/bwell-tripla-acao-30-comprimidos-999317.html?origin=search,0,,
2026-06-08 09:06:18,vitamina c,Ponta negra,Drogasil,vitamina c bwell 1g - 30 comprimidos,Preço não encontrado,,indefinido,https://www.drogasil.com.br/bwell-vitamina-c-1g-30-comprimidos-999314.html?origin=search,0,,
2026-06-08 09:06:54,vitamina c,Ponta negra,Bemol Farma,"vitamina c + zinco daaz com 10 comprimidos efervescentes
r$ 13,50
até 10x de
r$ 1,35 no
cartão de crédito","R$ 1,35",1.35,baixo,https://www.bemolfarma.com.br/vitamina-c---zinco-daaz-com-10-comprimidos-efervescentes/p,1,,
2026-06-08 09:06:54,vitamina c,Ponta negra,Bemol Farma,"vitamina c tripla ação imuno daaz 30 comprimidos revestidos
r$ 27,50
até 10x de
r$ 2,75 no
cartão de crédito","R$ 2,75",2.75,baixo,https://www.bemolfarma.com.br/vitamina-c-tripla-acao-imuno-daaz-30-comprimidos-revestidos/p,1,,
2026-06-08 09:06:54,vitamina c,Ponta negra,Bemol Farma,"vitamina c tripla ação daaz 10 comprimidos efervescentes
r$ 17,30
até 10x de
r$ 1,73 no
cartão de crédito","R$ 1,73",1.73,baixo,https://www.bemolfarma.com.br/vitamina-c-tripla-acao-daaz-10-comprimidos-efervescentes/p,1,,
2026-06-08 09:06:54,vitamina c,Ponta negra,Bemol Farma,"vitamina c + zinco daaz com 30 comprimidos efervescentes
r$ 38,50
até 10x de
r$ 3,85 no
cartão de crédito","R$ 3,85",3.85,baixo,https://www.bemolfarma.com.br/vitamina-c---zinco-daaz-com-30-comprimidos-efervescentes/p,1,,
2026-06-08 09:06:54,vitamina c,Ponta negra,Bemol Farma,"vitamina c tripla ação daaz 30 comprimidos efervescentes
r$ 45,70
até 10x de
r$ 4,57 no
cartão de crédito","R$ 4,57",4.57,baixo,https://www.bemolfarma.com.br/vitamina-c-tripla-acao-daaz-30-comprimidos-efervescentes/p,1,,
2026-06-08 09:05:14,loratadina,Tarumã Manaus,Drogasil,loratadina 10mg 12 comprimidos cimed genérico,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
2026-06-08 09:05:14,loratadina,Tarumã Manaus,Drogasil,loratadina,Preço não encontrado,,indefinido,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search,0,,
